Non_proprietary_name,australia,ema,fda,healthcanada,japan,swissmedic,n_unique_drug_names
dextrose,,,"['dextrose 10% in plastic container', 'dextrose 2.5% and sodium chloride 0.45% in plastic container', 'dextrose 5%', 'dextrose 5% and potassium chloride 0.075%; dextrose 5% and potassium chloride 0.15%', 'dextrose 5% and sodium chloride 0.225%', 'dextrose 5% and sodium chloride 0.3% in plastic container', 'dextrose 5% and sodium chloride 0.45%', 'dextrose 5% and sodium chloride 0.9%', 'dextrose 5% in plastic container', 'dextrose 50%', 'potassium chloride 10meq in dextrose 5% and sodium chloride 0.225% in plastic container; potassium chloride 20meq in dextrose 5% and sodium chloride 0.225% in plastic container', 'potassium chloride 10meq in dextrose 5% and sodium chloride 0.45%; potassium chloride 20meq in dextrose 5% and sodium chloride 0.45%; potassium chloride 30meq in dextrose 5% and sodium chloride 0.45%; potassium chloride 40meq in dextrose 5% and sodium chloride 0.45%', 'potassium chloride 20meq in dextrose 5% and sodium chloride 0.9%; potassium chloride 40meq in dextrose 5% and sodium chloride 0.9%']","['10% dextrose injection, usp', '70% dextrose injection usp', 'dextrose injection', 'dextrose injection usp']",,,17
dextrose (dextrose monohydrate),,,,['5% dextrose injection'],,,1
dextrose; acetic acid; potassium chloride; calcium chloride; magnesium chloride; sodium chloride,,,,['naturalyte h-408'],,,1
dextrose; acetic acid; sodium chloride; calcium chloride; magnesium chloride; potassium chloride,,,,['acid concentrate a1297'],,,1
dextrose; calcium chloride; magnesium chloride; acetic acid; sodium chloride,,,,['acid concentrate a1230'],,,1
dextrose; calcium chloride; potassium chloride; acetic acid; magnesium chloride,,,,['selectbag one (ax 150 g)'],,,1
dextrose; calcium chloride; potassium chloride; magnesium chloride; sodium chloride; acetic acid,,,,['acid concentrate a1225'],,,1
dextrose; glutamic acid; alanine; l-threonine; l-leucine; l-proline; serine; histidine; sodium acetate trihydrate; methionine; soybean oil; olive oil; glycine; l-phenylalanine; tryptophan; sodium glycerophosphate; potassium chloride; l-isoleucine; magnesium chloride; l-arginine; l-tyrosine; l-aspartic acid; l-valine; calcium chloride; lysine (l-lysine acetate),,,,['olimel 7.6% e'],,,1
dextrose; heparin sodium,,,,['heparin sodium 25000units in 5% dextrose inj'],,,1
dextrose; histidine; l-leucine; magnesium chloride; l-lysine hydrochloride; glycine; serine; l-isoleucine; sodium chloride; l-valine; l-proline; l-threonine; calcium chloride; methionine; l-arginine; l-phenylalanine; l-tyrosine; potassium phosphate dibasic; alanine; tryptophan,,,,['clinimix e'],,,1
dextrose; l-tyrosine; sodium acetate trihydrate; serine; l-isoleucine; lysine (l-lysine acetate); glycine; olive oil; potassium chloride; l-proline; glutamic acid; sodium glycerophosphate; l-valine; alanine; histidine; calcium chloride; tryptophan; methionine; l-leucine; magnesium chloride; l-phenylalanine; l-arginine; soybean oil; l-threonine; l-aspartic acid,,,,['periolimel 2.5% e'],,,1
dextrose; magnesium chloride; acetic acid; sodium chloride; calcium chloride,,,,['naturalyte h-702'],,,1
dextrose; magnesium chloride; calcium chloride; sodium chloride; acetic acid; potassium chloride,,,,['acid concentrate a1275'],,,1
dextrose; magnesium chloride; sodium bicarbonate; calcium chloride; sodium lactate; sodium chloride,,,,['physioneal 40 glucose 3.86% clear-flex'],,,1
dextrose; mannitol; sodium chloride; adenine,,,,['sag-m'],,,1
dextrose; nitroglycerin,,,,['nitroglycerin in 5% dextrose inj.-200mcg/ml'],,,1
dextrose; potassium chloride; acetic acid; sodium chloride; magnesium chloride; calcium chloride,,,,['naturalyte h-226'],,,1
dextrose; potassium chloride; calcium chloride; acetic acid; magnesium chloride; sodium chloride,,,,['acid concentrate d12316'],,,1
dextrose; potassium chloride; calcium chloride; acetic acid; sodium chloride; magnesium chloride,,,,['naturalyte h-402'],,,1
dextrose; serine; sodium chloride; methionine; l-alanine; potassium phosphate dibasic; sodium acetate; histidine; l-leucine; l-isoleucine; l-phenylalanine; magnesium chloride; tryptophan; l-tyrosine; l-threonine; l-valine; glycine; l-arginine; l-proline; lysine (l-lysine hydrochloride),,,,['clinimix e'],,,1
dextrose; sodium chloride; acetic acid; magnesium chloride; calcium chloride,,,,['acid concentrate a1270'],,,1
dextrose; sodium chloride; calcium chloride; potassium chloride; acetic acid; magnesium chloride,,,,['acid concentrate d12236'],,,1
dextrose; sodium chloride; magnesium chloride; citric acid; sodium acetate; calcium chloride; potassium chloride,,,,['hemosate ultra hs3125'],,,1
dextrose; sodium chloride; magnesium chloride; potassium chloride; acetic acid; calcium chloride,,,,['acid concentrate a1221'],,,1
dextrose; sodium chloride; potassium chloride; calcium chloride; magnesium chloride; acetic acid,,,,['acid concentrate a1266'],,,1
diamorphine hydrochloride,,,,['diacetylmorphine hydrochloride'],,,1
diatrizoate meglumine,,,['diatrizoate meglumine and diatrizoate sodium'],,,,1
diazepam,,,"['diastat; diastat acudial', 'diazepam', 'libervant', 'valtoco']",['diastat'],,,5
diazoxide,,,['diazoxide'],,,,1
diazoxide choline,,,['vykat xr'],,,,1
dibucaine hydrochloride; hydrocortisone; esculin; framycetin sulfate,,,,['proctol suppositories'],,,1
dichlorobenzyl alcohol; amylmetacresol,,,,['cepacol sensations'],,,1
dichlorphenamide,,,['ormalvi'],,,,1
diclofenac,,,"['diclofenac', 'zorvolex']",,,,2
diclofenac diethylamine,,,,"['voltaren emulgel back & muscle pain', 'voltaren emulgel extra strength', 'voltaren emulgel joint pain extra strength', 'voltaren emulgel joint pain regular strength']",,,4
diclofenac epolamine,,,"['flector', 'licart']",,,,2
diclofenac potassium,,,"['cambia', 'cataflam', 'diclofenac potassium', 'zipsor']","['cambia', 'sandoz diclofenac rapide', 'teva-diclofenac-k']",,,6
diclofenac sodium,,,"['arthrotec', 'diclofenac sodium', 'diclofenac sodium and misoprostol', 'dyloject', 'pennsaid', 'solaraze', 'voltaren arthritis pain', 'voltaren-xr']","['apo-diclo sr', 'diclofenac', 'jamp diclofenac', 'jamp diclofenac topical solution', 'pennsaid', 'pms-diclofenac', 'sandoz diclofenac ophtha', 'sandoz-diclofenac', 'sandoz-diclofenac sr', 'taro-diclofenac', 'teva-diclofenac sr']",,,18
diclofenac sodium; misoprostol,,,,"['arthrotec 75', 'gd-diclofenac/misoprostol 50', 'gd-diclofenac/misoprostol 75', 'pms-diclofenac-misoprostol']",,,4
diclofenamide,,['ekesivy'],,,,,1
dicloxacillin sodium,,,['dicloxacillin sodium'],,,,1
dicyclomine hydrochloride,,,"['dicyclomine hydrochloride', 'dicyclomine hydrochloride (preservative free)']",['jamp-dicyclomine hcl'],,,3
didanosine,,,"['didanosine', 'videx ec']",,,,2
dienogest,['visanne'],,"['estradiol valerate and dienogest', 'natazia']","['aspen-dienogest', 'jamp dienogest', 'm-dienogest', 'visanne']",,,6
diethylpropion hydrochloride,,,['diethylpropion hydrochloride'],,,,1
difamilast,,,,,['moizerto'],,1
difelikefalin,['korsuva'],['kapruvia'],,,,['kapruvia'],2
difelikefalin (difelikefalin acetate),,,,['korsuva'],,,1
difelikefalin acetate,,,['korsuva'],,,,1
diflorasone diacetate,,,['diflorasone diacetate'],,,,1
diflunisal,,,['diflunisal'],,,,1
difluprednate,,,"['difluprednate', 'durezol']",['durezol'],,,2
digoxin,,,"['digoxin', 'digoxin pediatric', 'lanoxin']","['jamp digoxin', 'pms-digoxin']",,,5
digoxin immune fab (ovine),,,,['digifab'],,,1
digoxin-specific antibody fragment f(ab) (ovine),['digifab'],,,,,,1
dihydroartemisinin / piperaquine phosphate,,['eurartesim'],,,,,1
dihydroergotamine mesylate,,,"['atzumi', 'brekiya (autoinjector)', 'dihydroergotamine mesylate', 'migranal', 'trudhesa']",['migranal nasal spray 4mg/ml'],,,6
diltiazem hydrochloride,['ano-cream'],,"['cardizem', 'cardizem la', 'cartia xt', 'dilt-cd', 'diltiazem hydrochloride', 'diltiazem hydrochloride in 0.72% sodium chloride', 'diltiazem hydrochloride in dextrose 5%', 'diltzac', 'taztia xt', 'tiazac']","['act diltiazem cd', 'apo-diltiaz cd', 'diltiazem cd', 'diltiazem hydrochloride injection', 'diltiazem t', 'jamp diltiazem cd', 'jamp diltiazem t', 'm-diltiazem cd', 'm-diltiazem t', 'mar-diltiazem cd', 'mar-diltiazem t', 'pro-diltiazem cd', 'teva-diltiazem cd', 'teva-diltiazem hcl er', 'teva-diltiazem t', 'teva-diltiazem xc', 'tiazac', 'tiazac xc']",,,28
diltiazem malate,,,"['teczem', 'tiamate']",,,,2
diluent; somatropin,,,,['humatrope'],,,1
dimenhydrinate,,,['dimenhydrinate'],"['anti-nauseant', 'anti-nauseant liquid gels', 'dimenhydrinate injection usp', 'gaviscon nausea', 'gravol chewables', 'gravol immediate release & long acting caplets', 'gravol liquid gels', 'jamp-dimenhydrinate', 'kids gravol chewables']",,,10
dimethicone,,,,"['baza cleanse & protect', 'cavilon durable barrier cream', 'cicaplast baume b5 conditioning pro-vitamin b5 pro-vitamine b5 revitalisante', 'comfort shield', 'dimethicone protectant', 'nyda', 'proshield plus', 'sween 24']",,,8
dimethyl fumarate,['tecfidera'],"['dimethyl fumarate accord', 'dimethyl fumarate mylan', 'dimethyl fumarate neuraxpharm', 'dimethyl fumarate polpharma', 'dimethyl fumarate teva', 'dimherity', 'skilarence', 'tecfidera']","['dimethyl fumarate', 'tecfidera']","['ach-dimethyl fumarate', 'apo-dimethyl fumarate', 'auro-dimethyl fumarate', 'gln-dimethyl fumarate', 'jamp dimethyl fumarate', 'mar-dimethyl fumarate', 'pms-dimethyl fumarate', 'sandoz dimethyl fumarate delayed-release capsules', 'tecfidera']",,,17
dimethyl sulfoxide,,,['dimethyl sulfoxide'],,,,1
dimyristoyl lecithin,,,['imagent'],,,,1
dinoprostone,,,['cervidil'],['cervidil'],,,1
dinutuximab,,['unituxin'],['unituxin'],['unituxin'],,,1
dinutuximab beta,['qarziba'],['dinutuximab beta apeiron'],,,,['qarziba'],2
diphenhydramine citrate,,,"['advil pm', 'ibuprofen and diphenhydramine citrate']",,,,2
diphenhydramine hydrochloride,,,"['advil pm', 'aleve pm', 'diphenhydramine hydrochloride', 'diphenhydramine hydrochloride preservative free', 'ibuprofen and diphenhydramine hydrochloride', 'naproxen sodium and diphenhydramine hydrochloride']","['allergy formula', 'allergy formula caplets', 'allergy formula extra strength', 'allergy formula liquid capsules', 'allernix', 'allernix extra strength', 'anti-itch cream', 'benadryl allergy liquigels', 'benylin for children cough night', 'benylin sleep time', ""children's allergy formula rapid melts"", ""children's benadryl allergy chewables"", ""children's clear allergy formula"", 'diphenhydramine hydrochloride elixir usp', 'diphenhydramine hydrochloride injection, usp', 'diphenist', 'dormiphen extra-fort comprime', 'extra strength allergy formula liquid capsules', 'extra strength benadryl allergy', 'extra strength benadryl allergy nighttime', 'extra strength dormex caplets', 'extra strength dormex capsules', 'extra strength nytol quickgels', 'jamp diphenhydramine 25 mg', 'jamp diphenhydramine 50 mg', 'nadryl 25mg', 'nighttime sleep aid', 'regular strength sleep aid', 'sleep aid', 'sleep aid extra strength tab 50mg', 'sleep aid liquid fastgels', 'sleep-eze', 'sleep-eze extra strength caplets', 'sleep-eze extra strength gelcaps', 'sleep-eze extra strength minis', 'sleep-eze eze-free', 'sleep-eze eze-liquid', 'sleep-eze regular strength caplets', 'unisom sleepgels extra strength', 'zzzquil', 'zzzquil liquid']",,,47
diphenhydramine hydrochloride; acetaminophen,,,,['acetaminophen with antihistamine nighttime'],,,1
diphenhydramine hydrochloride; acetaminophen; pseudoephedrine hydrochloride,,,,['nighttime total cold and flu'],,,1
diphenhydramine hydrochloride; calamine,,,,['lotion calamine avec antihistaminique'],,,1
diphenhydramine hydrochloride; ibuprofen,,,,"['advil flu', 'advil nighttime']",,,2
diphenhydramine hydrochloride; menthol,,,,"[""buckley's nighttime cough & congestion""]",,,1
diphenhydramine hydrochloride; naproxen sodium,,,,['aleve nighttime'],,,1
diphenhydramine hydrochloride; pseudoephedrine hydrochloride; acetaminophen,,,,"['benadryl allergy, sinus & pain total', 'extra strength allergy total']",,,2
diphenhydramine hydrochloride; zinc acetate,,,,['benadryl itch stopping cream'],,,1
diphtheria toxoid adsorbed; pertactin adsorbed; filamentous haemagglutinin adsorbed; tetanus toxoid adsorbed; inactivated poliovirus type iii; inactivated poliovirus type ii; pertussis toxoid adsorbed; inactivated poliovirus type i,,,,['boostrix-polio'],,,1
"diphtheria toxoid, haemophilus type b polysaccharide, hepatitis b surface antigen, pertussis filamentous haemagglutinin, pertussis toxoid, poliovirus, tetanus protein, tetanus toxoid",['hexaxim'],,,,,,1
"diphtheria, tetanus, pertussis (acellular, component), hepatitis b (rdna), poliomyelitis (inactivated) and haemophilus influenzae type b conjugate vaccine (adsorbed)",,"['hexacima', 'hexyon']",,,,,2
"diphtheria, tetanus, pertussis (acellular, component), hepatitis b (rdna), poliomyelitis (inactivated) and haemophilus type b conjugate vaccine (adsorbed)",,['vaxelis'],,,,,1
"diphtheria, tetanus, pertussis, hepatitis b, poliovirus, and haemophilus influenzae type b conjugate",['vaxelis'],,,,,,1
dipivefrin hydrochloride,,,"['akpro', 'dipivefrin hydrochloride']",,,,2
dipyridamole,,,['dipyridamole'],"['dipyridamole injection, usp']",,,2
diquafosol sodium,,,,,['moistear'],,1
dirithromycin,,,['dynabac'],,,,1
diroximel fumarate,['vumerity'],['vumerity'],['vumerity'],,,,1
disofenin,,,,['stannous disida kit'],,,1
disopyramide,,,,['rythmodan'],,,1
disulfiram,,,['disulfiram'],,,,1
divalproex sodium,,,"['depakote er', 'divalproex sodium']",,,,2
dobutamine (dobutamine hydrochloride),,,,['dobutamine injection usp'],,,1
dobutamine hydrochloride,,,['dobutamine hydrochloride'],,,,1
docetaxel,['docetaxel -pf'],"['docefrez', 'docetaxel accord', 'docetaxel hospira uk limited', 'docetaxel kabi', 'docetaxel mylan', 'docetaxel sun', 'docetaxel teva', 'docetaxel teva pharma']","['beizray', 'docefrez; docetaxel', 'docetaxel', 'docetaxel; docivyx', 'taxotere']","['docetaxel injection', 'docetaxel injection usp']",,,16
docosanol,,,"['abreva', 'docosanol']",,,,2
docusate sodium,,,,"['colace', 'colace capsules', 'colace clear', 'colace syrup', 'docusate sodium', 'enemeez', 'jamp-docusate sodium', 'm-docusate sodium 100 mg', 'nra-docusate sodium', 'sandoz docusate sodium', 'sirop docusate de sodium u.s.p. 4mg/ml', 'stool softener', 'stool softener clear']",,,13
docusate sodium; sennosides,,,,"['colace plus stimulant laxative', 'senna laxative and docusate sodium tablets', 'senna s. tablets']",,,3
dofetilide,,,"['dofetilde', 'dofetilide', 'tikosyn']",,,,3
dolasetron mesylate,,,['anzemet'],,,,1
dolutegravir,"['tivicay', 'tivicay and tivicay pd']",['tivicay'],"['dolutegravir', 'dolutegravir, lamivudine and tenofovir disoproxil fumarate', 'dolutegravir, lamivudine, and tenofovir disoproxil fumarate', 'dolutegravir; emtricitabine; tenofovir alafenamide', 'dolutegravir; lamivudine; tenofovir disoproxil fumarate', 'dolutegravir; rilpivirine', 'dolutegravir; tenofovir disoproxil fumarate; lamivudine', 'dolutegravir;lamivudine;tenofovir alafenamide']",,,,10
dolutegravir (dolutegravir sodium),,,,['tivicay'],,,1
dolutegravir (dolutegravir sodium); lamivudine,,,,['dovato'],,,1
dolutegravir / abacavir / lamivudine,,['triumeq'],,,,,1
dolutegravir / lamivudine,,['dovato'],,,,,1
dolutegravir / rilpivirine,,['juluca'],,,,,1
dolutegravir lamivudine tenofovir alafenamide,,,['dolutegravir lamivudine tenofovir alafenamide'],,,,1
dolutegravir sodium,,,"['dolutegravir sodium', 'dovato', 'juluca', 'tivicay', 'tivicay pd']",,['tivicay'],,5
dolutegravir sodium/abacavir sulfate/lamivudine,['triumeq'],,,,,,1
"dolutegravir, emtricitabine and tenofovir alafenamide",,,"['dolutegravir, emtricitabine and tenofovir alafenamide']",,,,1
dolutegravir/lamivudine,['dovato'],,,,,,1
domperidone (domperidone maleate),,,,"['apo-domperidone', 'bio-domperidone', 'domperidone', 'domperidone-10', 'jamp-domperidone', 'mar-domperidone', 'prz-domperidone', 'taro-domperidone']",,,8
donanemab,['kisunla'],,,,['kisunla'],,1
donanemab-azbt,,,['kisunla'],,,,1
donepezil hydrochloride,,,"['adlarity', 'aricept', 'aricept odt', 'donepezil hydrochloride', 'donepezil hydrochloride and memantine hydrochloride', 'memantine hydrochloride and donepezil hydrochloride', 'namzaric']","['ach-donepezil', 'ag-donepezil', 'aricept', 'auro-donepezil', 'bio-donepezil', 'donepezil', 'jamp-donepezil tablets', 'm-donepezil', 'mar-donepezil', 'mint-donepezil', 'nat-donepezil', 'nra-donepezil', 'sandoz donepezil', 'taro-donepezil', 'teva-donepezil']",,,21
donepezil hydrochloride (donepezil hydrochloride monohydrate),,,,"['apo-donepezil', 'donepezil', 'pms-donepezil']",,,3
dopamine hydrochloride,,['neoatricon'],"['dopamine hydrochloride', 'dopamine hydrochloride in dextrose 5%']",,,,3
doravirine,['pifeltro and delstrigo'],['pifeltro'],"['delstrigo', 'pifeltro']",['pifeltro'],,,3
doravirine / lamivudine / tenofovir disoproxil,,['delstrigo'],,,,,1
doravirine; tenofovir disoproxil fumarate; lamivudine,,,,['delstrigo'],,,1
doripenem,,['doribax'],['doribax'],,,,1
dorzolamide (dorzolamide hydrochloride),,,,"['dorzolamide', 'jamp-dorzolamide', 'med-dorzolamide', 'sandoz dorzolamide', 'trusopt']",,,5
dorzolamide (dorzolamide hydrochloride); timolol (timolol maleate),,,,"['apo-dorzo-timop', 'dorzolamide-timolol', 'riva-dorzolamide/timolol']",,,3
dorzolamide hydrochloride,,,"['cosopt', 'cosopt pf', 'dorzolamide hydrochloride', 'dorzolamide hydrochloride and timolol maleate']",,,,4
dostarlimab,['jemperli'],['jemperli'],,['jemperli'],,['jemperli'],1
dostarlimab-gxly,,,['jemperli'],,,,1
doxapram hydrochloride,,,['doxapram hydrochloride'],,,,1
doxazosin (doxazosin mesylate),,,,"['apo-doxazosin', 'jamp-doxazosin', 'teva-doxazosin']",,,3
doxazosin mesylate,,,"['cardura xl', 'doxazosin mesylate']",,,,2
doxepin,,,['doxepin'],,,,1
doxepin (doxepin hydrochloride),,,,['silenor'],,,1
doxepin hydrochloride,,,"['doxepin hydrochloride', 'silenor']",,,,2
doxercalciferol,,,"['doxercalciferol', 'hectorol']",,,,2
doxorubicin,,"['celdoxome pegylated liposomal', 'doxorubicin hydrochloride tillomed', 'zolsketil pegylated liposomal']",,,,,3
doxorubicin hydrochloride,,['doxolipad'],"['doxil (liposomal)', 'doxorubicin hydrochloride', 'doxorubicin hydrochloride (liposomal)']","['caelyx', 'doxorubicin', 'doxorubicin hydrochloride for injection usp', 'doxorubicin hydrochloride injection', 'doxorubicin injection, bp', 'taro-doxorubicin liposomal']",,,10
doxycycline,,,"['doxycycline', 'oracea', 'xyrosa', 'zenavod']",,,,4
doxycycline (doxycycline hyclate),,,,"['doxycycline capsules', 'doxycycline tablets', 'jamp doxycycline', 'jamp doxycycline capsules', 'm-doxycycline', 'pms-doxycycline', 'prz-doxycycline', 'teva-doxycycline']",,,8
doxycycline (doxycycline monohydrate),,,,"['apo-doxycycline mr', 'apprilon']",,,2
doxycycline hyclate,,,"['acticlate', 'acticlate cap', 'atridox', 'doryx; doryx mpc', 'doxycycline', 'doxycycline hyclate', 'lymepak', 'periostat']",,,,8
doxycycline monohydrate,['oracea'],,,,,,1
doxylamine succinate,,,"['bonjesta', 'diclegis', 'doxylamine succinate', 'doxylamine succinate and pyridoxine hydrochloride']",,,,4
